game_id,team,starter_id,starter_name
ANA199704020,BOS,gordt001,Tom Gordon
ANA199704020,LAA,langm001,Mark Langston
ANA199704030,BOS,waket001,Tim Wakefield
ANA199704030,LAA,dickj001,Jason Dickson
ANA199704040,CLE,colob001,Bartolo Colon
ANA199704040,LAA,watsa001,Allen Watson
ANA199704050,CLE,ogeac001,Chad Ogea
ANA199704050,LAA,hases001,Shigetoshi Hasegawa
ANA199704060,CLE,mcdoj001,Jack McDowell
ANA199704060,LAA,gubim001,Mark Gubicza
ANA199704070,LAA,langm001,Mark Langston
ANA199704070,NYY,petta001,Andy Pettitte
ANA199704080,LAA,dickj001,Jason Dickson
ANA199704080,NYY,rogek001,Kenny Rogers
ANA199704090,LAA,watsa001,Allen Watson
ANA199704090,NYY,welld001,David Wells
ANA199704210,LAA,finlc001,Chuck Finley
ANA199704210,TOR,willw001,Woody Williams
ANA199704220,LAA,watsa001,Allen Watson
ANA199704220,TOR,hanse001,Erik Hanson
ANA199704230,LAA,langm001,Mark Langston
ANA199704230,TOR,hentp001,Pat Hentgen
ANA199704250,DET,liraf001,Felipe Lira
ANA199704250,LAA,dickj001,Jason Dickson
ANA199704260,DET,moehb001,Brian Moehler
ANA199704260,LAA,finlc001,Chuck Finley
ANA199704270,DET,blaiw001,Willie Blair
ANA199704270,LAA,watsa001,Allen Watson
ANA199705120,CHW,darwd001,Danny Darwin
ANA199705120,LAA,watsa001,Allen Watson
ANA199705130,CHW,baldj002,James Baldwin
ANA199705130,LAA,langm001,Mark Langston
ANA199705140,BAL,johnm002,Mike Johnson
ANA199705140,LAA,hases001,Shigetoshi Hasegawa
ANA199705150,BAL,kamis001,Scott Kamieniecki
ANA199705150,LAA,dickj001,Jason Dickson
ANA199705160,LAA,finlc001,Chuck Finley
ANA199705160,MIL,mcdob001,Ben McDonald
ANA199705170,LAA,watsa001,Allen Watson
ANA199705170,MIL,adamj001,Joel Adamson
ANA199705180,LAA,sprid001,Dennis Springer
ANA199705180,MIL,mercj001,Jose Mercedes
ANA199705190,LAA,langm001,Mark Langston
ANA199705190,SEA,moyej001,Jamie Moyer
ANA199705200,LAA,dickj001,Jason Dickson
ANA199705200,SEA,fassj001,Jeff Fassero
ANA199705210,LAA,finlc001,Chuck Finley
ANA199705210,SEA,martd001,Dennis Martinez
ANA199705300,LAA,dickj001,Jason Dickson
ANA199705300,MIN,tewkb001,Bob Tewksbury
ANA199705310,LAA,finlc001,Chuck Finley
ANA199705310,MIN,aldrs001,Scott Aldred
ANA199706010,LAA,perim001,Matt Perisho
ANA199706010,MIN,jarvk001,Kevin Jarvis
ANA199706030,KC,belct001,Tim Belcher
ANA199706030,LAA,sprid001,Dennis Springer
ANA199706040,KC,ruscg001,Glendon Rusch
ANA199706040,LAA,watsa001,Allen Watson
ANA199706120,LAA,perim001,Matt Perisho
ANA199706120,SD,murrh001,Heath Murray
ANA199706130,LAA,sprid001,Dennis Springer
ANA199706130,SD,cunnw001,Will Cunnane
ANA199706140,LAA,watsa001,Allen Watson
ANA199706140,SF,roa-j001,Joe Roa
ANA199706150,LAA,dickj001,Jason Dickson
ANA199706150,SF,vanlb001,William VanLandingham
ANA199706190,ATH,karss001,Steve Karsay
ANA199706190,LAA,perim001,Matt Perisho
ANA199706200,ATH,wengd001,Don Wengert
ANA199706200,LAA,grosk001,Kevin Gross
ANA199706210,ATH,priea001,Ariel Prieto
ANA199706210,LAA,dickj001,Jason Dickson
ANA199706220,ATH,oquim001,Mike Oquist
ANA199706220,LAA,finlc001,Chuck Finley
ANA199707020,LAA,dickj001,Jason Dickson
ANA199707020,LAD,parkc002,Chan Ho Park
ANA199707030,LAA,watsa001,Allen Watson
ANA199707030,LAD,nomoh001,Hideo Nomo
ANA199707040,LAA,sprid001,Dennis Springer
ANA199707040,SEA,johnr005,Randy Johnson
ANA199707050,LAA,perim001,Matt Perisho
ANA199707050,SEA,moyej001,Jamie Moyer
ANA199707060,LAA,finlc001,Chuck Finley
ANA199707060,SEA,fassj001,Jeff Fassero
ANA199707140,LAA,watsa001,Allen Watson
ANA199707140,TEX,santj001,Julio Santana
