game_id,date,season,season_label,sport,game_type,team,opponent,home_away,score_for,score_against,result,margin,total,decided_in,line,total_line,moneyline,odds_win,odds_draw,implied_win,line_result,ou_result,favorite
1990020001,1990-10-04,1990,1990-91,nhl,regular,PHI,BOS,A,1,4,L,-3,5,REG,,,,,,,,,
1990020001,1990-10-04,1990,1990-91,nhl,regular,BOS,PHI,H,4,1,W,3,5,REG,,,,,,,,,
1990020002,1990-10-04,1990,1990-91,nhl,regular,COL,CAR,A,3,3,T,0,6,OT,,,,,,,,,
1990020002,1990-10-04,1990,1990-91,nhl,regular,CAR,COL,H,3,3,T,0,6,OT,,,,,,,,,
1990020003,1990-10-04,1990,1990-91,nhl,regular,MTL,BUF,A,3,3,T,0,6,OT,,,,,,,,,
1990020003,1990-10-04,1990,1990-91,nhl,regular,BUF,MTL,H,3,3,T,0,6,OT,,,,,,,,,
1990020004,1990-10-04,1990,1990-91,nhl,regular,NYI,LAK,A,1,4,L,-3,5,REG,,,,,,,,,
1990020004,1990-10-04,1990,1990-91,nhl,regular,LAK,NYI,H,4,1,W,3,5,REG,,,,,,,,,
1990020005,1990-10-04,1990,1990-91,nhl,regular,NYR,CHI,A,3,4,L,-1,7,REG,,,,,,,,,
1990020005,1990-10-04,1990,1990-91,nhl,regular,CHI,NYR,H,4,3,W,1,7,REG,,,,,,,,,
1990020006,1990-10-04,1990,1990-91,nhl,regular,DET,NJD,A,3,3,T,0,6,OT,,,,,,,,,
1990020006,1990-10-04,1990,1990-91,nhl,regular,NJD,DET,H,3,3,T,0,6,OT,,,,,,,,,
1990020007,1990-10-04,1990,1990-91,nhl,regular,TOR,ARI,A,1,7,L,-6,8,REG,,,,,,,,,
1990020007,1990-10-04,1990,1990-91,nhl,regular,ARI,TOR,H,7,1,W,6,8,REG,,,,,,,,,
1990020008,1990-10-04,1990,1990-91,nhl,regular,STL,DAL,A,3,2,W,1,5,REG,,,,,,,,,
1990020008,1990-10-04,1990,1990-91,nhl,regular,DAL,STL,H,2,3,L,-1,5,REG,,,,,,,,,
1990020009,1990-10-04,1990,1990-91,nhl,regular,VAN,CGY,A,2,3,L,-1,5,OT,,,,,,,,,
1990020009,1990-10-04,1990,1990-91,nhl,regular,CGY,VAN,H,3,2,W,1,5,OT,,,,,,,,,
1990020010,1990-10-05,1990,1990-91,nhl,regular,PIT,WSH,A,7,4,W,3,11,REG,,,,,,,,,
1990020010,1990-10-05,1990,1990-91,nhl,regular,WSH,PIT,H,4,7,L,-3,11,REG,,,,,,,,,
1990020011,1990-10-06,1990,1990-91,nhl,regular,COL,BOS,A,1,7,L,-6,8,REG,,,,,,,,,
1990020011,1990-10-06,1990,1990-91,nhl,regular,BOS,COL,H,7,1,W,6,8,REG,,,,,,,,,
1990020012,1990-10-06,1990,1990-91,nhl,regular,NYR,CAR,A,4,5,L,-1,9,REG,,,,,,,,,
1990020012,1990-10-06,1990,1990-91,nhl,regular,CAR,NYR,H,5,4,W,1,9,REG,,,,,,,,,
1990020013,1990-10-06,1990,1990-91,nhl,regular,BUF,MTL,A,5,6,L,-1,11,REG,,,,,,,,,
1990020013,1990-10-06,1990,1990-91,nhl,regular,MTL,BUF,H,6,5,W,1,11,REG,,,,,,,,,
1990020014,1990-10-06,1990,1990-91,nhl,regular,NYI,DAL,A,2,4,L,-2,6,REG,,,,,,,,,
1990020014,1990-10-06,1990,1990-91,nhl,regular,DAL,NYI,H,4,2,W,2,6,REG,,,,,,,,,
1990020015,1990-10-06,1990,1990-91,nhl,regular,PHI,NJD,A,1,3,L,-2,4,REG,,,,,,,,,
1990020015,1990-10-06,1990,1990-91,nhl,regular,NJD,PHI,H,3,1,W,2,4,REG,,,,,,,,,
1990020016,1990-10-06,1990,1990-91,nhl,regular,DET,WSH,A,4,6,L,-2,10,REG,,,,,,,,,
1990020016,1990-10-06,1990,1990-91,nhl,regular,WSH,DET,H,6,4,W,2,10,REG,,,,,,,,,
1990020017,1990-10-06,1990,1990-91,nhl,regular,TOR,CGY,A,1,4,L,-3,5,REG,,,,,,,,,
1990020017,1990-10-06,1990,1990-91,nhl,regular,CGY,TOR,H,4,1,W,3,5,REG,,,,,,,,,
1990020018,1990-10-06,1990,1990-91,nhl,regular,CHI,STL,A,5,2,W,3,7,REG,,,,,,,,,
1990020018,1990-10-06,1990,1990-91,nhl,regular,STL,CHI,H,2,5,L,-3,7,REG,,,,,,,,,
1990020019,1990-10-06,1990,1990-91,nhl,regular,ARI,EDM,A,3,3,T,0,6,OT,,,,,,,,,
1990020019,1990-10-06,1990,1990-91,nhl,regular,EDM,ARI,H,3,3,T,0,6,OT,,,,,,,,,
1990020020,1990-10-06,1990,1990-91,nhl,regular,VAN,LAK,A,6,3,W,3,9,REG,,,,,,,,,
1990020020,1990-10-06,1990,1990-91,nhl,regular,LAK,VAN,H,3,6,L,-3,9,REG,,,,,,,,,
1990020021,1990-10-07,1990,1990-91,nhl,regular,BOS,COL,A,5,2,W,3,7,REG,,,,,,,,,
1990020021,1990-10-07,1990,1990-91,nhl,regular,COL,BOS,H,2,5,L,-3,7,REG,,,,,,,,,
1990020022,1990-10-07,1990,1990-91,nhl,regular,NYI,CHI,A,4,2,W,2,6,REG,,,,,,,,,
1990020022,1990-10-07,1990,1990-91,nhl,regular,CHI,NYI,H,2,4,L,-2,6,REG,,,,,,,,,
1990020023,1990-10-07,1990,1990-91,nhl,regular,NJD,PIT,A,4,7,L,-3,11,REG,,,,,,,,,
1990020023,1990-10-07,1990,1990-91,nhl,regular,PIT,NJD,H,7,4,W,3,11,REG,,,,,,,,,
1990020024,1990-10-07,1990,1990-91,nhl,regular,DET,PHI,A,2,7,L,-5,9,REG,,,,,,,,,
1990020024,1990-10-07,1990,1990-91,nhl,regular,PHI,DET,H,7,2,W,5,9,REG,,,,,,,,,
1990020025,1990-10-07,1990,1990-91,nhl,regular,TOR,EDM,A,2,3,L,-1,5,REG,,,,,,,,,
1990020025,1990-10-07,1990,1990-91,nhl,regular,EDM,TOR,H,3,2,W,1,5,REG,,,,,,,,,
1990020026,1990-10-08,1990,1990-91,nhl,regular,CAR,MTL,A,3,5,L,-2,8,REG,,,,,,,,,
1990020026,1990-10-08,1990,1990-91,nhl,regular,MTL,CAR,H,5,3,W,2,8,REG,,,,,,,,,
1990020027,1990-10-08,1990,1990-91,nhl,regular,DAL,NYR,A,3,6,L,-3,9,REG,,,,,,,,,
1990020027,1990-10-08,1990,1990-91,nhl,regular,NYR,DAL,H,6,3,W,3,9,REG,,,,,,,,,
1990020028,1990-10-08,1990,1990-91,nhl,regular,CGY,ARI,A,4,3,W,1,7,REG,,,,,,,,,
1990020028,1990-10-08,1990,1990-91,nhl,regular,ARI,CGY,H,3,4,L,-1,7,REG,,,,,,,,,
1990020029,1990-10-09,1990,1990-91,nhl,regular,DAL,NJD,A,2,5,L,-3,7,REG,,,,,,,,,
1990020029,1990-10-09,1990,1990-91,nhl,regular,NJD,DAL,H,5,2,W,3,7,REG,,,,,,,,,
1990020030,1990-10-09,1990,1990-91,nhl,regular,PIT,STL,A,3,4,L,-1,7,REG,,,,,,,,,
1990020030,1990-10-09,1990,1990-91,nhl,regular,STL,PIT,H,4,3,W,1,7,REG,,,,,,,,,
1990020031,1990-10-09,1990,1990-91,nhl,regular,LAK,VAN,A,6,2,W,4,8,REG,,,,,,,,,
1990020031,1990-10-09,1990,1990-91,nhl,regular,VAN,LAK,H,2,6,L,-4,8,REG,,,,,,,,,
1990020032,1990-10-10,1990,1990-91,nhl,regular,BOS,ARI,A,4,2,W,2,6,REG,,,,,,,,,
1990020032,1990-10-10,1990,1990-91,nhl,regular,ARI,BOS,H,2,4,L,-2,6,REG,,,,,,,,,
1990020033,1990-10-10,1990,1990-91,nhl,regular,BUF,CAR,A,3,4,L,-1,7,REG,,,,,,,,,
1990020033,1990-10-10,1990,1990-91,nhl,regular,CAR,BUF,H,4,3,W,1,7,REG,,,,,,,,,
1990020034,1990-10-10,1990,1990-91,nhl,regular,COL,TOR,A,8,5,W,3,13,REG,,,,,,,,,
1990020034,1990-10-10,1990,1990-91,nhl,regular,TOR,COL,H,5,8,L,-3,13,REG,,,,,,,,,
1990020035,1990-10-10,1990,1990-91,nhl,regular,WSH,NYR,A,2,4,L,-2,6,REG,,,,,,,,,
1990020035,1990-10-10,1990,1990-91,nhl,regular,NYR,WSH,H,4,2,W,2,6,REG,,,,,,,,,
1990020036,1990-10-10,1990,1990-91,nhl,regular,CGY,DET,A,5,6,L,-1,11,OT,,,,,,,,,
1990020036,1990-10-10,1990,1990-91,nhl,regular,DET,CGY,H,6,5,W,1,11,OT,,,,,,,,,
1990020037,1990-10-11,1990,1990-91,nhl,regular,BOS,DAL,A,3,3,T,0,6,OT,,,,,,,,,
1990020037,1990-10-11,1990,1990-91,nhl,regular,DAL,BOS,H,3,3,T,0,6,OT,,,,,,,,,
1990020038,1990-10-11,1990,1990-91,nhl,regular,NJD,PHI,A,4,7,L,-3,11,REG,,,,,,,,,
1990020038,1990-10-11,1990,1990-91,nhl,regular,PHI,NJD,H,7,4,W,3,11,REG,,,,,,,,,
1990020039,1990-10-11,1990,1990-91,nhl,regular,PIT,CHI,A,1,4,L,-3,5,REG,,,,,,,,,
